Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,19463.945,17725.794,18022.269,17864.541,17049.723,17230.781,24576.927,30563.656,32818.824,31478.186,39888.213,39868.407,40911.467,39386.136,43241.988,50329.762,48254.479,41697.283,42809.617,41857.869,39073.979,39946.655,42807.414,49683.005,55006.03,56660.701,59505.877,65774.861,75076.973,72460.746,77431.92,91699.23,87037.301,88721.54,90258.364,85238.522,83515.544,83700.471,86762.015,85721.728,87366.598,93515.484,98770.706,102030.377,106657.087,110400.079,115413.444
